name,obsid,obi,region_id,ra,dec,flux_significance_b,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,mm_avg_b,mm_avg_h,mm_avg_m,mm_avg_s,Weirdness Score
2CXO J053512.3-691502,1967,1,52,83.80163427662939,-69.25073732110971,10.988432682696633,3.0,0.517137950992,0.8071787299381199,0.82342097351626,2461.5584860107365,92.93328051167238,0.0012459697910956204,89002.58152661982,0.0,0.32469045734009994,0.34487607147466004,0.51500636190278,1799.9260020450308,67.97172201278157,0.0004347194889531722,65258.932470418615,3.0,0.5670741210373299,0.6849468216478101,0.7598828756809201,6992.884635434229,259.75999205359915,0.0005906097924192571,229944.5661372666,0.0,0.43147481017988,0.946036738350178,0.8333762365056601,6.864529436485937e-05,0.0005787551438904929,0.00047560693616663065,0.0006467747141455072,0.038725796377264,-0.07557776389756403,0.14803247970018998,0.032479700187383,-0.084322298563398,0.14428482198626,-0.0062460961898814,-0.10805746408495,0.098063710181137,478.85204462039263,480.044722810367,442.6096661575762,0.9696515548590144,0.9997117776325948
2CXO J125558.7+565805,4030,0,32,193.9949512505469,56.96806765089728,5.411764705882477,4.0,0.6194384613734301,0.70366820825334,0.24725942188595995,1341.6108522078582,57.07831291508271,0.0006338715912841714,31592.069653146533,4.0,0.62928369019697,0.17295058815588005,0.013655373365149992,764.7125809789967,32.534053884268396,0.0003460014192103921,18007.34701598922,3.0,0.50070224519681,0.20802842452994,0.5834545887236701,400.0475980489325,17.019867668424006,0.00035492812062647486,9420.266198342504,1.0,0.59535927221632,0.9264202014970392,0.6976823143239901,0.0001234158817917276,0.0004899426517162867,0.00031207457992853187,0.0006032664867210763,0.20612117426608,-0.021861336664585,0.41411617738913,-0.16864459712679994,-0.37663960024984,0.048094940662086,-0.35852592129919,-0.53529044347283,-0.16052467207995005,276.7432030972839,276.7461353885868,276.74323727990884,0.934130824743606,0.9997025835956522
2CXO J054728.9-702634,1992,0,5,86.87047875790722,-70.44304259381869,10.914177298219554,0.0,0.12607993176598,0.7192002725384701,0.6883439212836,376.8716489558545,15.127647305727539,0.0025425257467517194,12009.901650259631,0.0,0.2678175285032,0.5337944348542101,0.46105553259249,987.9768175063311,49.14374727277557,0.0008673101161259692,27556.727864756413,0.0,0.20800992069527,0.20927127507942006,0.49902175870486,1095.8259979415943,47.78655526268318,0.0011169150198909043,33338.70930991854,2.0,0.83625084234797,0.976748750244477,0.8719490553931201,0.00021224455337631493,0.0005750809986958415,0.0002571065607328473,0.0008134188197627212,0.072454715802623,-0.034353529044347,0.17676452217364005,0.33104309806371,0.21673953778888005,0.44034978138663,0.26358525921299,0.15302935665209,0.37164272329794,396.9521482774873,280.3686151476312,348.82939608819186,0.9307605214946127,0.9996722575280632
2CXO J112646.1+534921,12983,0,5,171.692402865605,53.8226726025243,7.4715590500353315,0.0,0.14037671945381,0.14409802533797,0.36072960847419,0.00010710706924953565,0.007652881471192085,0.007524525993851063,0.00781510036108138,0.0,0.19339836814599,0.63621410149519,0.13530269304246,0.00011031146093594968,0.0030362147499437948,0.002882149369845436,0.003174972529949831,1.0,0.58915190330071,0.22233973509067995,0.29358779200109003,0.0005537908985092163,0.0026266440747218732,0.0021666496866911337,0.004844345604296956,6.0,0.97625807182383,0.9919765479922596,0.987111726287098,0.0012798887011224785,0.0019963419172766713,0.00032028978970864664,0.0034628514221563683,0.22860712054966,0.08307307932542199,0.3666458463460301,-0.012492192379763,-0.16926920674578,0.15178013741412,-0.2423485321674,-0.3903810118675801,-0.079325421611493,1.0022124615855963,0.9974791638021312,1.3345918007049469,0.9475183532252388,0.9991690087307716
2CXO J034501.5+321051,13434,0,156,56.25635430566729,32.18090617573029,6.7746589550688014,0.0,0.18393530938069,0.78106577546514,0.51107795405298,0.0004169678490933208,0.006345958570485033,0.005479742731305658,0.007150732007525093,0.0,0.36370521856368,0.28458370637505004,0.4693829783223,0.00012502335929013094,0.001432989073373161,0.001356796961882877,0.002010053320713333,0.0,0.25134045242913,0.77290874217632,0.4349551732159001,0.00020645788844837672,0.00276379696520483,0.0026019604091014345,0.003648542572230517,6.0,0.97934803276641,0.9024707546138678,0.954747974855314,0.0013378368716241145,0.002150106301335653,0.00031359263642891224,0.00346410647510655,-0.20861961274204,-0.3903810118675801,-0.029356652092442,-0.48094940662086,-0.6264834478450999,-0.31917551530294,-0.29606495940037003,-0.4366021236727,-0.14053716427232998,0.995158934504782,1.1747648133390396,1.1307818664003626,0.8784912423140993,0.9991294173546358
2CXO J030314.4-225418,16487,0,6,45.81030500445797,-22.905200985244107,20.515439012536326,0.0,0.061274763084501,0.06383153666562003,0.17599114908799995,2.3674696605602633e-05,0.013938770050751005,0.0139150953541454,0.013962444747356606,0.0,0.042148764261005,0.18978985312223995,0.21635249048006,7.752437898616993e-06,0.008261377118854305,0.008251315744463543,0.008271738954716279,0.0,0.13549603021838,0.30515762401388,0.41032167833209,4.892857132861089e-05,0.0048005840431670785,0.0047516554718384655,0.004849512614495688,2.0,0.7890111686274399,0.954411692798818,0.78680448557219,0.00029840790424526736,0.0008721651430532284,0.00034816475064660085,0.0012466843375822274,0.35852592129919,0.31417863835103,0.40287320424735,0.6545908806995601,0.59525296689569,0.71267957526546,0.38475952529669,0.29544034978139,0.47532792004997,1.0,1.0000181847086078,1.0000000000000002,0.9143045333396764,0.9990700481083328
2CXO J191810.0+062509,12368,1,1,289.54197777165257,6.419300804809785,10.502980834933195,1.0,0.60550922115624,0.9645540390823728,0.87942624891665,0.000668096114238308,0.006220456013175006,0.005552359898936699,0.006888552127413315,0.0,0.4019757249557101,0.7841109510522399,0.6362029398783899,0.0004896136654972523,0.0033074942119174105,0.0029737279869775433,0.005891453927272542,1.0,0.5854813371883499,0.929365409526828,0.7269216498116999,0.00034751451751815484,0.002337188531677536,0.0019896740141593814,0.002684703049195691,1.0,0.53133027210899,0.46704528236348,0.75669560117322,0.00014293710394949597,0.0005808416673243537,0.0003534791129173118,0.0007333576553548267,0.19737663960025,0.10430980637102,0.28794503435353,0.33978763272953993,0.19550281074329,0.49531542785759,0.14615865084322,-0.011867582760774998,0.32542161149282,1.0000000000000002,1.3401658999594726,1.0,0.9355705947187388,0.9990460652135176
2CXO J122655.9+675117,13386,1,12,186.7331841887552,67.85486989489742,7.594845715054759,0.0,0.35424418436971,0.6550011003356999,0.371732294433,0.00045858363025196464,0.008434586556750941,0.007976002926498976,0.008893170187002905,2.0,0.6912512238233499,0.9478469879829192,0.8041719948956,0.0007973542044323345,0.004186166338974529,0.003388812134542195,0.004983520543406864,0.0,0.11060539515264,0.28066150665755,0.31561174392908004,8.011488998386e-05,0.0026242029315735288,0.002572011398913313,0.003008287832463243,6.0,0.94409614086177,0.78940671541018,0.9233353908725308,0.0009567954610165188,0.0016565907518667196,0.00035227914027426084,0.0028034485070819216,0.17863835103061,0.029356652092442,0.31542785758901,-0.072454715802623,-0.23547782635853,0.10181136789507003,-0.2473454091193,-0.3903810118675801,-0.084322298563398,1.0000000000000002,1.0,1.0632369860265507,0.9524765376723764,0.9989849022985092
2CXO J132527.6-430108,13304,0,96,201.36504956982608,-43.0191130680878,24.61989575015102,0.0,0.043683660490348,0.07117885978644001,0.2878882742568,0.00010116265137877224,0.1737417473171686,0.17364058466578985,0.17384290996854734,0.0,0.045340274511659014,0.07429755380119996,0.2485424809076,0.00011365029459556308,0.16642840005938342,0.16631474976478786,0.16654205035397895,0.0,0.1718767716882,0.25836197675462,0.45120804804329,0.0004106692046240935,0.006521833382115215,0.006169319001610349,0.008070074084306041,2.0,0.6714324366015699,0.925516070037131,0.85525456254969,0.0003126273980767667,0.0008210058707017576,0.0004480125928168204,0.0010994505400196393,0.94316052467208,0.93129294191131,0.95502810743285,0.9893816364772,0.98001249219238,0.99750156152405,0.6495940037476601,0.41286695815116,0.8588382261086801,1.0,0.9999999999999998,1.0916710265065184,0.9424190423350812,0.9989364257290492
2CXO J232553.1-115900,7329,0,44,351.4713664984012,-11.983334228089946,5.976241075619647,0.0,0.07411422297830701,0.17189998224669,0.19083286022704005,1.5471544807842475e-06,0.004432333654415417,0.0044307864999346335,0.004433880808896202,0.0,0.11694718394051,0.6092545968826499,0.6802153460312099,2.7531099843724022e-05,0.002331384543909733,0.0023033602887441787,0.0023640625310166995,0.0,0.41322106976104,0.40170446996757003,0.35206688050021,7.745541446885573e-05,0.0008865806255155543,0.0008442236525071022,0.0014962789158340188,5.0,0.89540297452346,0.7941195725968699,0.84392486842463,0.000528614438055649,0.0011679725980837372,0.0002363750143224706,0.0017675588926202325,0.39100562148657,0.19050593379138,0.5627732667083101,-0.099937539038101,-0.29918800749532,0.08682073703935,-0.4684572142410999,-0.61274203622736,-0.31168019987508,1.0000000000000002,1.0009980618498926,1.3199603628717351,0.8578685451313268,0.9988402684563761
2CXO J005901.0-721329,13773,0,26,14.754456432248444,-72.22496250063911,11.249722849365263,0.0,0.07472940848719,0.4896479330936901,0.4797286671836401,1.6337569507660794e-05,0.004505327945632104,0.004488118474990989,0.004529998488060618,0.0,0.41530511116342,0.63228567220484,0.28561773194102,0.00015508285943836484,0.0018172840302291238,0.001662201170790759,0.0019723668896674887,0.0,0.17859843749405,0.20370821041538,0.07330665641737999,7.136993941969259e-05,0.0016381414549910172,0.0016051812680136519,0.002111061358492911,6.0,0.98358980872603,0.9971197093736404,0.9894531261819292,0.0005279769926216322,0.0010352987365443544,0.0002515120456196918,0.0016996810800453633,0.21861336664585,0.12304809494066,0.31043098063709995,0.24109931292942,0.13304184884447,0.34540911930044005,0.021236727045596,-0.09056839475327902,0.1367895065584,1.0008280276017012,1.0,1.1342862410276229,0.9423333849405608,0.9988261685573441
2CXO J111223.6+405445,15106,0,17,168.09865548523874,40.91267937938465,5.98415339502869,0.0,0.10128042659313,0.66425798826014,0.8160905781226501,6.302550817106919e-05,0.004832412229596026,0.004748972078126008,0.0049258878978485285,1.0,0.5718132827547601,0.8877967343178002,0.84787877585765,0.00025247299478410216,0.0010361944198378787,0.0008095918935960079,0.0017347341776950136,0.0,0.14171517555869,0.15667731042218005,0.21019737138653005,8.804171872575654e-05,0.0023297567660391784,0.002263450179512653,0.002685893176065717,6.0,0.913656584584,0.54713601095995,0.8723394124609001,0.0007987175075675558,0.0014672760776664564,0.0003407367254509916,0.0021292100665786426,-0.40724547158026,-0.61149281698938,-0.20049968769519,-0.60087445346658,-0.76139912554653,-0.41411617738913,-0.24359775140537,-0.39912554653342,-0.06683322923173,1.001038354791115,1.2277261981825294,1.0622017344739278,0.8416775921126641,0.998821215180852
2CXO J124222.9-112219,6775,0,9,190.59565400247243,-11.372116440581634,5.2,0.0,0.14939090254582998,0.41968500334599,0.76665038419604,4.902150983624862e-05,0.0022415856789995427,0.002168036091997214,0.002282907872080068,1.0,0.5629874072901301,0.70806641050228,0.9554719195062712,6.044821159364645e-05,0.00045982398819462313,0.0004281587585654432,0.0008484523452882263,0.0,0.43332084692102,0.56658049288933,0.78342402387664,5.852926681615405e-05,0.0006896657696800007,0.0006595186583290786,0.0010226860269641946,6.0,0.95291241644476,0.78480971927395,0.9793865481312628,0.000632287288265345,0.0010920574271769128,0.0002011350406050651,0.0016107595683027966,-0.016239850093691003,-0.28169893816365005,0.23297938788257,-0.3797626483447801,-0.58151155527795,-0.16926920674578,-0.35602748282324004,-0.5252966895690201,-0.17301686445971,0.9928114739883186,1.3881519196790322,1.2195796567327115,0.8295784469832351,0.9988097166953732
2CXO J134858.1+051321,8246,0,7,207.24211219575702,5.222671978952816,6.54468618075215,0.0,0.49600486208739,0.35501326321116,0.44394972335881,0.0014466773782095535,0.006717103685199584,0.005537836625273901,0.013827345485976037,2.0,0.72314567734507,0.31484596493761996,0.7324094242085599,0.0007113099076677409,0.0025401173932267564,0.0020341600913363,0.006525667675574706,0.0,0.21779013028987,0.47863233395549,0.11382782349288,0.00017171115071003002,0.002721487938194022,0.002600499416855646,0.003569467847284136,2.0,0.8968460082509001,0.97412542685175,0.935650822507884,0.0006992813570436134,0.0014370299275849607,0.00044094596903341806,0.0020785714964356426,0.052467207995003,-0.12554653341661,0.21424109931293,0.078700811992505,-0.12429731417864,0.28169893816365005,0.026233603997502,-0.15053091817614006,0.22048719550281,1.4414830423057956,1.6849275922711004,1.133565057840045,0.876640568545188,0.9987913642572902
2CXO J065803.5-560114,4986,0,20,104.51478562613735,-56.02059411899386,8.702079116196678,0.0,0.094588847088129,0.36189468265194,0.77991561295872,4.836852560632077e-05,0.0044904151894895735,0.004446432064331225,0.0045616858381563605,0.0,0.11036030833356,0.26753792773383,0.50619581174522,1.4223442996013696e-05,0.0025658438156694395,0.0025475410543102503,0.0025824097503411602,0.0,0.21754018180910006,0.61950632070684,0.44705659117876,7.214707614687918e-05,0.0015600677686142801,0.001460829744851083,0.001651843352448422,0.0,0.45996559217326,0.7848648968063101,0.5706611210146899,6.85622670191528e-05,0.0003641408908223997,0.00026530137534450495,0.0004387487363787069,0.38101186758276,0.27420362273579,0.48282323547783,0.6745783885071801,0.5540287320424699,0.78513429106808,0.38725796377264,0.20174890693317,0.56901936289819,1.003038418760509,0.9996615486342424,0.9976082962294378,0.9667276176168224,0.9987871948684444
2CXO J034435.8+321502,8584,0,108,56.14943844858226,32.250693988027805,11.543408569051321,0.0,0.07538876124814799,0.84216463871934,0.84938460183891,2.8870756654027198e-05,0.005523457169500495,0.00549704743450844,0.005563168688472212,0.0,0.09848967616692,0.7047795850649,0.63942937753062,7.822125807196982e-05,0.0023733702093043287,0.002321935591750767,0.0027889496668177765,0.0,0.21865815660427,0.935228044427318,0.86804957866788,9.647294186611529e-05,0.002333354190672541,0.0022256765180305835,0.0024866610149763928,2.0,0.8354173883290601,0.9535807954368232,0.85494120764377,0.00033874214134342465,0.0007963319661692029,0.00031695177198246336,0.0011732630178568492,-0.012492192379763,-0.10555902560899,0.078076202373516,0.14865708931917998,0.019362898188632,0.28169893816365005,0.15990006246096,0.043098063710181,0.28669581511555,1.0012041175998534,1.0767147153301937,1.0097775879556334,0.9356743501131004,0.9987269941200928
2CXO J104354.6-593309,4495,0,463,160.97762457775733,-59.55261406423564,13.129489162892472,0.0,0.14622145452398,0.74392905356657,0.38309235566998,0.000424962468555361,0.004258767114764545,0.004030907482993361,0.008737729506566223,6.0,0.97875000880668,0.25379148456373,0.4347738102414699,0.0007738639979824937,0.0014204910317759036,0.0010748700332094264,0.0100287887366889,0.0,0.15500121576788,0.58422866372508,0.15707955442149002,0.0001850446284682712,0.0019753748337297964,0.0018850816390203343,0.004062931487494552,1.0,0.50469436973398,0.9860002455996127,0.903970969911239,0.0001753214769136185,0.0009648955637722703,0.0006612729618347316,0.001207936880956583,-0.052467207995003,-0.14053716427232998,0.034353529044347,0.00999375390381,-0.094316052467208,0.1155527795128,0.062460961898813,-0.033104309806371,0.16052467207995005,1.4991001674278597,3.908387494715997,1.5055403726299803,0.9686073358465954,0.9987030587396802
